pmid,sample_size,sensitivity,specificity,cutoff_value,reference_standard,population
42344074,NOT REPORTED,95.24%,92.70%,≥ 7%,HPLC,outpatient department in a tertiary care hospital
42326981,50 patient samples for each analyte,NOT REPORTED,NOT REPORTED,6.5%,Tosoh G8 high-performance liquid chromatography (HPLC),NOT REPORTED
42129995,248 participants,NOT REPORTED,NOT REPORTED,NOT REPORTED,laboratory-based HbA1c method,adults with or without diabetes and haemoglobin ≥8 g/dL in Nigeria and Cambodia
42068535,554 patients,NOT REPORTED,NOT REPORTED,5.65% and 6.25%,Tosoh,"endocrine patient cohorts at a tertiary, university referral center"
40767877,NOT REPORTED,NOT REPORTED,NOT REPORTED,4.5 to 14 % HbA1c,"DCA Vantage (Siemens) and the Capillarys 3 Tera (Sebia, capillary electrophoresis)",NOT REPORTED
39445250,121 participants,93.62%,97.30%,6.5% HbA1c,HPLC,Indian population
39361597,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,local laboratory reference assay,rural Nepal
39217618,605 samples,98.1% and 97.1%,96.8% and 96.7%,NOT REPORTED,"NGSP-certified HPLC instruments, the Bio-Rad D100 and Tosoh G8",NOT REPORTED
39196699,52 and 13 frozen EDTA whole blood samples,NOT REPORTED,NOT REPORTED,NOT REPORTED,"an established HbA1c analyzer, the Bio-Rad D100",NOT REPORTED
37384652,108 DM and 98 non-DM subjects,100.00%,90.32%,>6.5%,standard HPLC method,DM and non-DM subjects
36315541,NOT REPORTED,100%,100%,NOT REPORTED,HPLC tests,NOT REPORTED
35658748,123 patients,NOT REPORTED,NOT REPORTED,NOT REPORTED,DCA Vantage Analyzer,African Americans with type 2 diabetes
34660113,114 patients,NOT REPORTED,NOT REPORTED,7.0,HPLC,patients with diabetes mellitus
32733964,108 participants,97.83%,77.42%,NOT REPORTED,standard diagnostic laboratory method,diabetics and nondiabetics
31175054,100 patients,NOT REPORTED,NOT REPORTED,NOT REPORTED,high-performance liquid chromatography method G8 HPLC,patients with diabetes mellitus
30703147,748 participants,54%,84%,5.75%,FPG-defined and OGTT-defined dysglycaemia,HIV-infected Africans
30545795,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,accredited laboratory analysers,NOT REPORTED
30455529,2185 patients,NOT REPORTED,NOT REPORTED,NOT REPORTED,laboratory-measured glycated haemoglobin (HbA1c),newly-diagnosed pulmonary tuberculosis patients
30236830,618 EDTA whole blood excess patient specimens,NOT REPORTED,NOT REPORTED,6.5% HbA1c,NGSP reference method,NOT REPORTED
29863029,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,high-performance liquid chromatography (HPLC),NOT REPORTED
29726123,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED
29468638,40 obese pregnant women,NOT REPORTED,NOT REPORTED,NOT REPORTED,Primus Ultra2 high performance liquid chromatography laboratory analyser,obese pregnant women
29406816,115 patients,88.6%,96.3%,NOT REPORTED,laboratory analysis,NOT REPORTED [UNVERIFIED NUMBERS DETECTED]
28220976,842 subjects,76.1%,86.6%,48 mmol/mol (6.5%),Tosoh G8 Analyzer,NOT REPORTED
26531840,40 EDTA-preserved whole blood samples,NOT REPORTED,NOT REPORTED,NOT REPORTED,high pressure liquid chromatography (HPLC),NOT REPORTED
25885487,55 diabetic volunteers,100%,67.7%,7%,"Vitros 5,1 FS",diabetic patients
25835152,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,HA-8180,diabetic patients
25818473,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,Variant II Turbo instrument,NOT REPORTED
24697111,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,HPLC,NOT REPORTED
22538151,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED
22538150,700 subjects,NOT REPORTED,NOT REPORTED,NOT REPORTED,high-performance liquid chromatography (HPLC) and DCA methods,pediatric practice settings
21129346,110 subjects,NOT REPORTED,NOT REPORTED,NOT REPORTED,laboratory (TOSOH) analysis,subjects with and without diabetes
19587262,99 paired samples,81.8%,93.2%,NOT REPORTED,laboratory analysis,adult diabetic patients
18343780,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,National Glycohemoglobin Standardization Program (NGSP) reference method,NOT REPORTED
15896181,152 residents,NOT REPORTED,NOT REPORTED,NOT REPORTED,laboratory measurements,remote Aboriginal Australian community
11469613,50 clinical samples,NOT REPORTED,NOT REPORTED,NOT REPORTED,laboratory method (Bio-Rad DiaSTATT),subjects with and without diabetes
