pmid,title,decision,reason
42436450,HbA1c measurement using capillary blood in epidemiological studies: a scoping review of technologies and approaches.,EXCLUDE,"This is a scoping review of technologies and approaches for HbA1c measurement, not a primary study evaluating diagnostic accuracy."
42344074,Validation of the HemoCue® HbA1c 501 System for Point-of-care HbA1c Estimation Using Venous and Capillary Blood: A Comparative Study with HPLC in Eastern India.,INCLUDE,This study evaluates the diagnostic performance of the HemoCue HbA1c 501 System for point-of-care HbA1c estimation using venous and capillary blood.
42326981,Analytical Evaluation of a Point-of-Care Platform for Glycated Hemoglobin and N-Terminal Pro-B-Type Natriuretic Peptide Testing in Cardiometabolic Care.,INCLUDE,This study evaluates the analytical performance of the AFIAS-3 point-of-care fluorescence immunoassay platform for HbA1c measurements.
42129995,Analytical performance of four HbA1c point-of-care devices: a cross-sectional evaluation in low- and middle-income countries.,INCLUDE,This study evaluates the analytical performance and usability of four HbA1c point-of-care devices in low- and middle-income countries.
42068535,"Point-of-care HbA1c testing in a tertiary, university referral center: living up to the potential?",INCLUDE,This study compares point-of-care HbA1c testing with reference laboratory HbA1c testing in a tertiary university referral center.
42032555,A High-accuracy and compliance-driven paradigm for pediatric type 2 diabetes screening based on simplified OGTT --- a multicenter study.,EXCLUDE,"This study focuses on a simplified oral glucose tolerance test for pediatric type 2 diabetes screening, not point-of-care HbA1c testing."
40899799,"Wearable Diabetes Technology for Hospitalized People With Diabetes and End-Stage Kidney Disease, Peripartum State, and Steroid Use.",EXCLUDE,"This review examines the effectiveness of continuous glucose monitoring and automated insulin delivery systems, not point-of-care HbA1c testing."
40767877,[Evaluation of the analytical performances of the Atellica® DCA analyzer (Siemens Healthineers) for point of care determination of HbA1c].,INCLUDE,This study evaluates the analytical performances of the Atellica DCA analyzer for point-of-care determination of HbA1c.
39455264,Impact of Point of Care Hemoglobin A1c Testing on Time to Therapeutic Intervention.,NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (1 matches).
39445250,A Comparative Evaluation of Point-of-Care and Laboratory HbA1c Testing in Diabetes Care: An Indian Perspective.,INCLUDE,This study compares the diagnostic performance of a point-of-care HbA1c device with laboratory HbA1c testing in an Indian population.
39361597,"Performance and usability of cardiometabolic point of care devices in Nepal: A prospective, quantitative, accuracy study.",INCLUDE,The study evaluates the quantitative accuracy of point-of-care devices for HbA1c testing in humans and reports diagnostic performance metrics such as mean absolute biases and percentage biases.
39262505,Correlation Between the First Trimester Two-Hour Postprandial Blood Glucose Greater Than 110 mg/dL for the Prediction of Gestational Diabetes Mellitus.,EXCLUDE,"The study does not evaluate point-of-care HbA1c testing, but rather the correlation between two-hour postprandial blood glucose and gestational diabetes mellitus."
39217618,Performance evaluation of the glycated hemoglobin A1c analyzer for point-of-care testing compared with laboratory-based devices: a multicenter validation study.,INCLUDE,"The study assesses the performance of a point-of-care HbA1c analyzer and reports diagnostic performance metrics such as sensitivity, specificity, and correlation with laboratory-based devices."
39196699,Analytical performance evaluation of the GreenCare A1c and Cera-Stat HbA1c point-of-care testing assays.,INCLUDE,"The study evaluates the analytical performance of two point-of-care HbA1c testing assays and reports diagnostic performance metrics such as precision, linearity, and correlation with an established HbA1c analyzer."
38552140,Point-of-Care HbA1c in Clinical Practice: Caveats and Considerations for Optimal Use.,EXCLUDE,"The study is a review article that discusses the use of point-of-care HbA1c testing in clinical practice, but does not report primary data or diagnostic performance metrics."
37384652,Validation of an electrochemical sensor based on gold nanoparticles as a point-of-care test for quantitative determination of glycated hemoglobin.,INCLUDE,"The study validates an electrochemical sensor for point-of-care HbA1c testing and reports diagnostic performance metrics such as sensitivity, specificity, and positive predictive value."
36315541,A Novel Approach for Glycosylated Hemoglobin Testing Using Microchip Affinity Electrophoresis.,INCLUDE,The study presents a novel approach for glycosylated hemoglobin testing using microchip affinity electrophoresis and reports diagnostic performance metrics such as correlation and bias compared to a clinical standard HPLC test.
35658748,Feasibility and Performance of Hemoglobin A1C Self-Testing During COVID-19 Among African Americans With Type 2 Diabetes.,INCLUDE,"The study evaluates the feasibility and performance of HbA1c self-testing using a point-of-care device and reports diagnostic performance metrics such as sensitivity, specificity, and mean differences compared to a reference standard."
